"code","display_name","brands","countries","categories","ingredients_text","nova_group","nutriscore_grade","ecoscore_grade","energy_kcal_100g","sugars_100g","salt_100g","game_ready","review_status","review_notes","source_dataset","selection_rationale"
"4056489458647","Cannellini Beans in Water","Freshona","United Kingdom","Plant-based foods and beverages,Plant-based foods,Legumes and their products,Canned foods,Legumes,Seeds,Canned plant-based foods,Legume seeds,Pulses,Common beans,Canned legumes,White beans,Canned common beans,Beans,Cannellini Beans","Cannellini Beans, Water","1","a","a","62.0","0.3","0.03","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"5000232005915","Tuna","Princes","United Kingdom","Seafood,Fishes and their products,Canned foods,Fishes,Fatty fishes,Canned fishes,Tunas,Canned tunas","tuna [fish], spring water.","1","a","d","99.0","0.0","0.835","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"20942021","Mixed Beans","Lidl","en:gb","Plant-based foods and beverages, Plant-based foods, Legumes and their products, Legumes, Seeds, Legume seeds, Pulses, Common beans, en:canned-common-beans","60% Mixed Beans in Varying Proportions (Cannellini Beans, Haricot Beans, Adzuki Beans), Water, Ascorbic Acid, Calcium Chloride","1","a","b","103.0","0.5","0.03","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"29210053","Crafted Signature Sourdough Bread","Marks & Spencer","en:gb","Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, Sourdough-loaf","Wheatflour contains Gluten (with Wheatflour, Calcium Carbonate Iron, Niacin, Thiamin) Water Rye Flour (contains Gluten) Wholegrain Wheatflour (contains Gluten) Malted Rye (contains Gluten) Sea Salt Malted Wheat (contains Gluten) Barley Malt Flour (contains Gluten) Barley Malt Extract (contains Gluten) Wheatflakes (contains Gluten).","1","unknown","unknown","226.0","","","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"4061461867041","Crunchy 100% Peanut Butter","Grandessa","en:United Kingdom","Plant-based foods and beverages, Plant-based foods, Legumes and their products, Spreads, Plant-based spreads, Oilseed purees, Legume butters, Peanut butters, Crunchy peanut butters, en:nut-butters","ROASTED PEANUTS (100%)","1","a","d","634.0","4.6","0.0","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"00852166","Greek Style Yogurt Unsweetened","M&S Food","France,United Kingdom","Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts,Plain fermented dairy desserts,Plain yogurts,Greek-style yogurts","lait fermenté (Contient lait)","1","c","b","124.0","4.8","0.2","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"8710532462482","100% peanut butter smooth","Millies","United Kingdom","Plant-based foods and beverages, Plant-based foods, Legumes and their products, Spreads, Nuts and their products, Plant-based spreads, Oilseed purees, Legume butters, Nut butters, Peanut butters","_Peanuts_ 100%.","1","a","d","607.0","6.0","0.0","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"5099801000352","Flahavans Microwave Quick Porridge Oats","Flahavan's","France,United Kingdom","Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Seeds, Cereals and their products, Breakfast cereals, Cereal grains, Porridge, Plain porridge","100% Wholegrain Rolled _Oats_","1","a","e","370.0","1.0","0.0333","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"4088600550848","Tomato Passata","Cucina","United Kingdom","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Condiments,Vegetables based foods,Sauces,Tomatoes and their products,Tomato sauces,Strained tomatoes","TOMATOES (99%), Acidity Regulator: Citric Acid.","1","a","a","27.0","3.8","0.03","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"4056489620860","Crunchy Peanut Butter","Maribel","Ireland,United Kingdom","Plant-based foods and beverages, Plant-based foods, Legumes and their products, Spreads, Nuts and their products, Plant-based spreads, Oilseed purees, Legume butters, Nut butters, Peanut butters, Crunchy peanut butters","100% peanuts","1","a","d","","5.8","0.01","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"5000119560445","Italian Tomato Passata","Tesco","France, United Kingdom","Condiments, Sauces, Tomato sauces","Tomato, Acidity Regulator (Citric Acid).","1","a","a","21.2","2.96","0.3","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"5201054017418","Fage Total 0% Yogurt","Fage","France, United Kingdom, en:ireland","Dairies, Fermented foods, Desserts, Fermented milk products, Dairy desserts, Fermented dairy desserts, Yogurts, Greek-style yogurts","Pasteurised skimmed milk, cultures (L. Bulgaricus, S. Thermophilus, L.Acidophilus, Bifidus, L. Casei)","1","a","b","54.0","3.0","0.0975","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"4056489367611","Coconut milk","Freshona","Finland, Germany, Switzerland, United Kingdom, en:belgium","Beverages and beverages preparations, Plant-based foods and beverages, Beverages, Plant-based foods, Dairy substitutes, Milk substitutes, Plant-based beverages, Plant-based milk alternatives, Plant-based creams, Plant-based creams for cooking, Coconut-based creams for cooking, Coconut milks and creams","coconut extract 50%, water","1","e","b","177.0","1.8","0.03","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"0196633965912","Spring Water","Kirkland","en:United Kingdom","Beverages, Waters, Spring waters","Calcium, Magnesium, Sodium, Potassium, Bicarbonates, Sulphates, Chlorides, Nitrates","1","a","not-applicable","0.0","","0.043","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"5449000034335","Smart Water","smartwater","Hungary,Spain,United Kingdom","Beverages, Waters, Spring waters, Non-alcoholic beverages, Unsweetened beverages","Vapour Distilled Spring Water, Electrolytes (Calcium Chloride, Magnesium Chloride, Potassium Bicarbonate)","1","a","not-applicable","0.0","0.0","0.0","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"01898811","Greek Style Yogurt","Sainsbury's","United Kingdom","Dairies, Fermented foods, Desserts, Fermented milk products, Dairy desserts, Fermented dairy desserts, Yogurts, Greek-style yogurts","Fat Free Greek Style Natural Yogurt (Cows' Milk)","1","a","a","51.0","5.2","0.00035","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"5057753898397","Organic red kidney beans in water","Tesco","United Kingdom","Plant-based foods and beverages, Plant-based foods, Legumes and their products, Legumes, Seeds, Legume seeds, Pulses, Common beans, Red beans","Organic Red Kidney Beans, Water.","1","b","a","95.0","0.6","0.01","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"5057545744765","Porridge Oats","Tesco - The Grower's Harvest","France, Germany, en:united-kingdom","Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Flakes, Cereal flakes, Rolled flakes","oat flakes","1","a","e","376.0","1.5","0.01","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"20448554","Strong Wholemeal Bread Flour","Belbake","United Kingdom","Wheat bread flour","Wholemeal Wheat Flour.","1","a","a-plus","344.0","2.1","0.01","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"7613036077514","GOLD BLEND Instant Coffee","Nescafé","United Kingdom,Ireland","Beverages and beverages preparations, Plant-based foods and beverages, Beverages, Plant-based foods, Beverage preparations, Instant beverages, Instant coffees, Instant, en:coffees","soluble coffee, roast and ground coffee (3%)","1","unknown","f","","","","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"01642605","Chickpeas in water","Sainsbury's","en:gb","Plant-based foods and beverages, Plant-based foods, Legumes and their products, Legumes, Seeds, Legume seeds, Pulses, Chickpeas","Organic Chickpeas, Water.","1","a","a-plus","113.0","0.435","0.0261","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"5201054017432","5% Greek Yogurt","Fage","Greece, United Kingdom, en:ireland","Dairies, Fermented foods, Fermented milk products, Desserts, Dairy desserts, Fermented dairy desserts, Yogurts, Cow milk yogurts, Greek-style yogurts","Pasteurised skimmed milk, cream (milk), live active yoghurt cultures (L. Bulgaricus, S. Thermophilus, L. Acidophilus, Bifidus, L. Casei).

no palm oil","1","b","a","93.0","3.0","0.0975","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"5000436101925","Lasagne Pasta","Tesco","France,United Kingdom","Plant-based foods and beverages, Plant-based foods, Pastas, Lasagna sheets","Durum Wheat Semolina","1","a","unknown","357.0","2.13","0.133","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
"00378208","PORRIDGE OATS","Daily's,STAMFORD STREET CO.","United Kingdom","Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Porridge, en:cereal-flakes","Wholegrain Oat Flakes","1","a","d","362.0","2.25","0.025","false","pending","","Global Food Nutrition Database (Open Food Facts snapshot, 2025-12-10)","English-readable candidate from an India/English-speaking market; manual familiarity review required"
